distance (A),dpKa,
3.6,0.37,
4.3,0.98,
4.4,1.19,
4.7,0.54,
5.0,0.70,
5.2,0.32,
6.6,0.25,
6.9,0.67,
8.7,0.16,
8.8,0.28,
8.9,0.00,
9.6,0.41,
10.4,0.27,
10.5,0.09,
10.7,0.12,
11.0,0.17,
11.6,0.09,
11.7,0.05,
12.0,0.02,
12.4,0.00,
12.5,0.04,
12.6,0.09,
13.4,0.23,
13.5,0.19,
14.0,0.04,
14.3,0.07,
15.0,0.02,
16.6,0.02,
18.8,0.01,
20.9,0.02,
21.5,-0.02,
21.8,0.05,
22.0,0.01,
22.7,0.02,
23.8,-0.02,
24.6,0.05,
25.7,0.08,
25.8,0.03,
28.8,0.04,
28.9,0.01,
29.5,0.00,
30.0,0.00,
30.9,0.02,
31.0,0.06,
31.7,0.00,